Area Code,M49 Code,Area
2,'004,Afghanistan
5100,'002,Africa
3,'008,Albania
4,'012,Algeria
5,'016,American Samoa
5200,'019,Americas
6,'020,Andorra
7,'024,Angola
258,'660,Anguilla
8,'028,Antigua and Barbuda
9,'032,Argentina
1,'051,Armenia
22,'533,Aruba
5300,'142,Asia
10,'036,Australia
5501,'053,Australia and New Zealand
11,'040,Austria
52,'031,Azerbaijan
12,'044,Bahamas
13,'048,Bahrain
16,'050,Bangladesh
14,'052,Barbados
57,'112,Belarus
255,'056,Belgium
15,'058,Belgium-Luxembourg
23,'084,Belize
53,'204,Benin
17,'060,Bermuda
18,'064,Bhutan
19,'068,Bolivia (Plurinational State of)
80,'070,Bosnia and Herzegovina
20,'072,Botswana
21,'076,Brazil
239,'092,British Virgin Islands
26,'096,Brunei Darussalam
27,'100,Bulgaria
233,'854,Burkina Faso
29,'108,Burundi
35,'132,Cabo Verde
115,'116,Cambodia
32,'120,Cameroon
33,'124,Canada
5206,'029,Caribbean
36,'136,Cayman Islands
37,'140,Central African Republic
5204,'013,Central America
5301,'143,Central Asia
39,'148,Chad
259,'830,Channel Islands
40,'152,Chile
351,'159,China
96,'344,China; Hong Kong SAR
128,'446,China; Macao SAR
41,'156,China; mainland
214,'158,China; Taiwan Province of
44,'170,Colombia
45,'174,Comoros
46,'178,Congo
47,'184,Cook Islands
48,'188,Costa Rica
107,'384,Côte d'Ivoire
98,'191,Croatia
49,'192,Cuba
50,'196,Cyprus
167,'203,Czechia
51,'200,Czechoslovakia
116,'408,Democratic People's Republic of Korea
250,'180,Democratic Republic of the Congo
54,'208,Denmark
72,'262,Djibouti
55,'212,Dominica
56,'214,Dominican Republic
5101,'014,Eastern Africa
5302,'030,Eastern Asia
5401,'151,Eastern Europe
58,'218,Ecuador
59,'818,Egypt
60,'222,El Salvador
61,'226,Equatorial Guinea
178,'232,Eritrea
63,'233,Estonia
209,'748,Eswatini
238,'231,Ethiopia
62,'230,Ethiopia PDR
5400,'150,Europe
